resource,status,case_id,timestamp,activity
Assignment,viewed,67239,29/03/21 15:19, Data Analytics assignment
Assignment,viewed,67239,18/03/21 10:20, Data Analytics assignment
Assignment,viewed,67239,18/03/21 10:19, ETL for the datamart
Assignment,viewed,28056,16/03/21 09:24, Data Analytics assignment
Assignment,viewed,67239,15/03/21 14:04, Data Analytics assignment
Assignment,viewed,49695,15/03/21 13:34, Data Analytics assignment
Assignment,viewed,50496,15/03/21 12:42, Data Analytics assignment
Assignment,viewed,67239,14/03/21 20:01, Data Analytics assignment
Assignment,viewed,67239,14/03/21 19:50, Data Analytics assignment
Assignment,viewed,67239,14/03/21 19:49, Data Analytics assignment
Assignment,viewed,50730,1/03/21 20:15, Data Analytics assignment
Assignment,viewed,50730,1/03/21 20:14, Data Analytics assignment
Assignment,viewed,52798,1/03/21 20:08, Data Analytics assignment
Assignment,viewed,52798,1/03/21 01:28, Data Analytics assignment
Assignment,viewed,52700,1/03/21 01:28, Data Analytics assignment
Assignment,viewed,52700,1/03/21 01:27, Data Analytics assignment
Assignment,viewed,52798,1/03/21 00:45, Data Analytics assignment
Page,viewed,52700,1/03/21 00:32, Case study Data Analytics
Assignment,viewed,58769,28/02/21 16:35, Data Analytics assignment
Assignment,viewed,58769,28/02/21 16:34, Data Analytics assignment
Page,viewed,58769,28/02/21 13:21, Data Analytics Introduction slides
Page,viewed,58769,28/02/21 13:02, Case study Data Analytics
Page,viewed,58769,28/02/21 12:54, Case study Data Analytics
Page,viewed,58769,28/02/21 12:54, JIGSAW Machine Learning
Assignment,viewed,58743,28/02/21 12:32, Data Analytics assignment
Page,viewed,58769,28/02/21 12:29, Data Analytics Introduction slides
Assignment,viewed,58769,28/02/21 12:19, Data Analytics assignment
Page,viewed,58769,28/02/21 12:18, Case study Data Analytics
Page,viewed,58743,28/02/21 00:32, Case study
Assignment,viewed,58743,28/02/21 00:32, ETL for the datamart
Assignment,viewed,58743,27/02/21 23:59, Data Analytics assignment
Assignment,viewed,58743,27/02/21 23:55, Data Analytics assignment
Page,viewed,58743,27/02/21 23:51, Case study Data Analytics
Assignment,viewed,50730,27/02/21 22:44, Data Analytics assignment
Assignment,viewed,50730,27/02/21 22:43, Data Analytics assignment
Assignment,viewed,52798,27/02/21 22:41, Data Analytics assignment
Assignment,viewed,52798,27/02/21 22:40, Data Analytics assignment
Assignment,viewed,52798,27/02/21 22:39, Data Analytics assignment
Assignment,viewed,52798,27/02/21 22:27, Data Analytics assignment
System,completed,52798,27/02/21 22:27, Data Analytics assignment
Assignment,viewed,52798,27/02/21 22:26, Data Analytics assignment
Assignment,viewed,50730,27/02/21 22:18, ETL for the datamart
Assignment,viewed,28056,27/02/21 22:15, Data Analytics assignment
System,completed,28056,27/02/21 22:15, Data Analytics assignment
Assignment,viewed,52798,27/02/21 22:15, Data Analytics assignment
Assignment,viewed,50730,27/02/21 22:15, Data Analytics assignment
Assignment,viewed,67108,27/02/21 22:09, Data Analytics assignment
Assignment,viewed,67183,27/02/21 21:49, Data Analytics assignment
Page,viewed,67183,27/02/21 21:49, Case study Data Analytics
Page,viewed,67108,27/02/21 21:46, Data Analytics Introduction slides
Page,viewed,67108,27/02/21 21:45, Case study Data Analytics
Assignment,viewed,67108,27/02/21 21:45, Data Analytics assignment
H5P,viewed,67108,27/02/21 21:45, Data Analytics Introduction
Page,viewed,67108,27/02/21 21:44, JIGSAW Machine Learning
Assignment,viewed,67108,27/02/21 21:40, ETL for the datamart
Page,viewed,67108,27/02/21 21:39, Case study
Page,viewed,67108,27/02/21 21:38, Guide to implement Business Intelligence
Page,viewed,58743,27/02/21 21:13, JIGSAW Machine Learning
Assignment,viewed,37389,27/02/21 21:07, Data Analytics assignment
Assignment,viewed,37389,27/02/21 21:07, ETL for the datamart
Page,viewed,58743,27/02/21 21:07, Case study Data Analytics
Assignment,viewed,58743,27/02/21 21:07, Data Analytics assignment
Assignment,viewed,28056,27/02/21 21:02, Data Analytics assignment
System,completed,28056,27/02/21 21:02, Data Analytics assignment
System,completed,28056,27/02/21 21:02, Case study Data Analytics
Page,viewed,28056,27/02/21 21:02, Case study Data Analytics
Page,viewed,67108,27/02/21 21:01, Data Intelligence Introduction slides
H5P,viewed,67108,27/02/21 21:00, Data Intelligence Introduction
Assignment,viewed,67190,27/02/21 20:44, Data Analytics assignment
System,completed,67190,27/02/21 20:44, Data Analytics assignment
Assignment,viewed,67190,27/02/21 20:43, Data Analytics assignment
H5P,viewed,67108,27/02/21 20:43, Lab5 - Data Integration
H5P,viewed,67108,27/02/21 20:29, Lab 4 - Data Integration
H5P,viewed,67108,27/02/21 20:15, Lab 3 - Data Integration
Assignment,viewed,37389,27/02/21 20:11, Data Analytics assignment
System,completed,37389,27/02/21 20:11, Data Analytics assignment
Assignment,viewed,37389,27/02/21 20:10, Data Analytics assignment
Assignment,viewed,49695,27/02/21 19:57, Data Analytics assignment
System,completed,49695,27/02/21 19:57, Data Analytics assignment
Assignment,viewed,49695,27/02/21 19:56, Data Analytics assignment
Assignment,viewed,55138,27/02/21 19:55, Data Analytics assignment
System,completed,55138,27/02/21 19:55, Data Analytics assignment
Assignment,viewed,55138,27/02/21 19:54, Data Analytics assignment
